application_id,trial,application_class,strategy,api_dependency,kernel_dependency,hardware_dependency,licensing_dependency,packaging_support,compatibility_outcome,compatibility_score,setup_effort,runtime_overhead,integration_score,windows_dependency_retained,random_seed,score_before_noise,score_after_penalties,dependency_risk_index,notes
APP-0017,17,productivity,native_linux,low,none,none,online_activation,app_profile,full,90.25,0.0,3.27,98.11,0,42,95,92.2,14.0,synthetic row; not a real application benchmark
APP-0018,18,productivity,native_linux,high,none,none,none,app_profile,full,100.0,18.16,4.63,95.04,0,42,95,95.0,18.0,synthetic row; not a real application benchmark
APP-0019,19,productivity,native_linux,medium,none,none,offline_activation,app_profile,full,90.34,5.04,4.93,99.63,0,42,95,93.4,16.0,synthetic row; not a real application benchmark
APP-0020,20,productivity,native_linux,low,none,none,online_activation,app_profile,full,91.93,11.87,2.26,100.0,0,42,95,92.2,14.0,synthetic row; not a real application benchmark
APP-0021,1,productivity,wine_like,high,none,none,online_activation,raw,failed,24.29,85.65,11.99,65.73,0,42,65,28.4,32.0,synthetic row; not a real application benchmark
APP-0022,2,productivity,wine_like,low,none,none,online_activation,raw,failed,41.43,72.9,9.44,62.69,0,42,65,43.7,14.0,synthetic row; not a real application benchmark
APP-0023,3,productivity,wine_like,medium,service,standard_device,offline_activation,raw,failed,21.1,81.96,16.09,59.87,0,42,65,20.0,41.95,synthetic row; not a real application benchmark
APP-0024,4,productivity,wine_like,medium,none,standard_device,none,raw,partial,51.22,78.28,12.51,66.25,0,42,65,42.6,15.2,synthetic row; not a real application benchmark
APP-0025,5,productivity,wine_like,medium,none,none,online_activation,managed_prefix,failed,44.87,69.15,13.48,73.63,0,42,65,44.9,22.0,synthetic row; not a real application benchmark
APP-0026,6,productivity,wine_like,low,none,none,offline_activation,raw,failed,43.31,73.09,11.33,65.66,0,42,65,49.4,8.0,synthetic row; not a real application benchmark
APP-0027,7,productivity,wine_like,medium,none,none,online_activation,raw,failed,35.26,83.81,13.88,67.35,0,42,65,36.9,22.0,synthetic row; not a real application benchmark
APP-0028,8,productivity,wine_like,low,service,none,online_activation,raw,failed,23.28,81.16,13.06,69.82,0,42,65,28.7,32.75,synthetic row; not a real application benchmark
APP-0029,9,productivity,wine_like,medium,service,standard_device,offline_activation,managed_prefix,failed,29.58,78.42,12.42,61.53,0,42,65,28.0,41.95,synthetic row; not a real application benchmark
APP-0030,10,productivity,wine_like,low,none,none,online_activation,raw,failed,41.05,74.29,11.81,54.97,0,42,65,43.7,14.0,synthetic row; not a real application benchmark
APP-0031,11,productivity,wine_like,medium,none,none,online_activation,managed_prefix,partial,59.43,65.11,12.06,69.37,0,42,65,44.9,22.0,synthetic row; not a real application benchmark
APP-0032,12,productivity,wine_like,medium,none,none,online_activation,raw,failed,35.02,79.26,10.05,61.05,0,42,65,36.9,22.0,synthetic row; not a real application benchmark
APP-0033,13,productivity,wine_like,low,none,none,online_activation,raw,failed,44.48,79.21,12.11,62.0,0,42,65,43.7,14.0,synthetic row; not a real application benchmark
APP-0034,14,productivity,wine_like,medium,none,none,none,raw,partial,58.07,78.54,11.27,57.55,0,42,65,50.2,8.0,synthetic row; not a real application benchmark
APP-0035,15,productivity,wine_like,medium,none,standard_device,none,managed_prefix,partial,52.87,64.56,12.34,67.45,0,42,65,50.6,15.2,synthetic row; not a real application benchmark
APP-0036,16,productivity,wine_like,medium,none,none,offline_activation,raw,partial,49.96,68.33,12.33,62.71,0,42,65,42.6,16.0,synthetic row; not a real application benchmark
APP-0037,17,productivity,wine_like,low,none,none,offline_activation,raw,failed,41.73,80.06,11.34,61.75,0,42,65,49.4,8.0,synthetic row; not a real application benchmark
APP-0038,18,productivity,wine_like,medium,none,standard_device,online_activation,raw,failed,35.19,83.56,16.77,62.16,0,42,65,29.3,29.2,synthetic row; not a real application benchmark
APP-0039,19,productivity,wine_like,medium,none,none,none,raw,failed,44.31,80.13,12.42,66.68,0,42,65,50.2,8.0,synthetic row; not a real application benchmark
APP-0040,20,productivity,wine_like,low,none,none,online_activation,raw,failed,37.84,75.73,15.02,64.55,0,42,65,43.7,14.0,synthetic row; not a real application benchmark
APP-0041,1,productivity,proton_like,medium,service,none,online_activation,raw,partial,49.11,57.42,10.62,64.58,0,42,78,47.55,40.75,synthetic row; not a real application benchmark
APP-0042,2,productivity,proton_like,medium,none,none,offline_activation,managed_prefix,partial,64.24,40.96,5.64,87.9,0,42,78,67.2,16.0,synthetic row; not a real application benchmark
APP-0043,3,productivity,proton_like,medium,none,none,online_activation,managed_prefix,partial,62.96,40.74,9.34,78.55,0,42,78,61.8,22.0,synthetic row; not a real application benchmark
APP-0044,4,productivity,proton_like,low,none,none,online_activation,managed_prefix,partial,64.77,43.73,6.51,78.71,0,42,78,65.4,14.0,synthetic row; not a real application benchmark
APP-0045,5,productivity,proton_like,medium,none,none,hardware_dongle,managed_prefix,partial,53.41,44.82,13.46,81.18,0,42,78,49.2,36.0,synthetic row; not a real application benchmark
APP-0046,6,productivity,proton_like,low,none,none,none,managed_prefix,partial,69.99,29.99,4.8,78.82,0,42,78,78.0,0.0,synthetic row; not a real application benchmark
APP-0047,7,productivity,proton_like,low,service,none,none,app_profile,partial,64.02,28.11,9.52,86.56,0,42,78,63.75,18.75,synthetic row; not a real application benchmark
APP-0048,8,productivity,proton_like,high,none,none,none,app_profile,partial,72.55,28.68,9.44,86.79,0,42,78,69.9,18.0,synthetic row; not a real application benchmark
APP-0049,9,productivity,proton_like,low,service,none,none,raw,partial,67.9,40.03,6.01,67.82,0,42,78,63.75,18.75,synthetic row; not a real application benchmark
APP-0050,10,productivity,proton_like,medium,none,standard_device,online_activation,app_profile,partial,60.85,39.11,9.14,89.81,0,42,78,55.4,29.2,synthetic row; not a real application benchmark
APP-0051,11,productivity,proton_like,medium,service,none,online_activation,raw,partial,45.76,56.01,12.84,68.22,0,42,78,47.55,40.75,synthetic row; not a real application benchmark
APP-0052,12,productivity,proton_like,low,none,none,online_activation,managed_prefix,partial,70.04,35.38,6.93,77.72,0,42,78,65.4,14.0,synthetic row; not a real application benchmark
APP-0053,13,productivity,proton_like,medium,none,none,online_activation,raw,partial,68.4,48.43,5.85,80.27,0,42,78,61.8,22.0,synthetic row; not a real application benchmark
APP-0054,14,productivity,proton_like,medium,service,none,offline_activation,managed_prefix,partial,62.71,49.91,9.54,80.39,0,42,78,52.95,34.75,synthetic row; not a real application benchmark
APP-0055,15,productivity,proton_like,low,none,none,online_activation,managed_prefix,partial,61.23,31.44,3.85,77.53,0,42,78,65.4,14.0,synthetic row; not a real application benchmark
APP-0056,16,productivity,proton_like,low,none,none,none,managed_prefix,full,79.74,33.37,7.43,82.74,0,42,78,78.0,0.0,synthetic row; not a real application benchmark
APP-0057,17,productivity,proton_like,low,none,none,offline_activation,managed_prefix,full,83.79,37.49,10.87,82.37,0,42,78,70.8,8.0,synthetic row; not a real application benchmark
APP-0058,18,productivity,proton_like,high,none,none,online_activation,managed_prefix,partial,53.04,44.96,11.97,83.47,0,42,78,57.3,32.0,synthetic row; not a real application benchmark
APP-0059,19,productivity,proton_like,low,none,none,offline_activation,managed_prefix,partial,69.12,28.64,5.01,87.46,0,42,78,70.8,8.0,synthetic row; not a real application benchmark
APP-0060,20,productivity,proton_like,low,none,none,offline_activation,app_profile,full,82.9,30.34,6.88,87.86,0,42,78,70.8,8.0,synthetic row; not a real application benchmark
APP-0061,1,productivity,managed_prefix,medium,none,none,none,managed_prefix,partial,72.72,34.67,9.42,79.59,0,42,72,71.0,8.0,synthetic row; not a real application benchmark
APP-0062,2,productivity,managed_prefix,high,none,standard_device,hardware_dongle,managed_prefix,failed,39.92,40.33,15.19,74.93,0,42,72,32.9,53.2,synthetic row; not a real application benchmark
APP-0063,3,productivity,managed_prefix,medium,none,none,none,app_profile,full,76.26,17.74,12.07,77.84,0,42,72,74.0,8.0,synthetic row; not a real application benchmark
APP-0064,4,productivity,managed_prefix,medium,none,none,none,app_profile,full,75.24,23.28,10.29,79.36,0,42,72,74.0,8.0,synthetic row; not a real application benchmark
APP-0065,5,productivity,managed_prefix,low,none,none,offline_activation,app_profile,full,75.98,24.79,14.07,79.65,0,42,72,73.2,8.0,synthetic row; not a real application benchmark
APP-0066,6,productivity,managed_prefix,high,none,standard_device,offline_activation,managed_prefix,partial,47.33,34.54,12.14,75.74,0,42,72,49.9,33.2,synthetic row; not a real application benchmark
APP-0067,7,productivity,managed_prefix,medium,none,none,none,managed_prefix,partial,67.74,34.19,11.18,70.21,0,42,72,71.0,8.0,synthetic row; not a real application benchmark
APP-0068,8,productivity,managed_prefix,low,none,none,online_activation,app_profile,partial,74.78,29.79,9.49,81.45,0,42,72,68.1,14.0,synthetic row; not a real application benchmark
APP-0069,9,productivity,managed_prefix,medium,service,none,online_activation,managed_prefix,partial,55.59,33.09,9.73,74.69,0,42,72,45.6,40.75,synthetic row; not a real application benchmark
APP-0070,10,productivity,managed_prefix,high,kernel_driver,none,online_activation,app_profile,failed,20.98,29.69,10.64,73.06,0,42,72,23.1,75.75,synthetic row; not a real application benchmark
APP-0071,11,productivity,managed_prefix,medium,kernel_driver,none,hardware_dongle,managed_prefix,failed,12.81,49.7,10.94,68.2,0,42,72,15.7,79.75,synthetic row; not a real application benchmark
APP-0072,12,productivity,managed_prefix,high,service,none,offline_activation,managed_prefix,failed,38.03,40.04,9.55,75.54,0,42,72,43.2,44.75,synthetic row; not a real application benchmark
APP-0073,13,productivity,managed_prefix,medium,none,standard_device,none,managed_prefix,partial,71.46,32.24,11.34,75.48,0,42,72,64.2,15.2,synthetic row; not a real application benchmark
APP-0074,14,productivity,managed_prefix,medium,none,none,online_activation,app_profile,partial,56.9,17.15,14.02,90.2,0,42,72,62.1,22.0,synthetic row; not a real application benchmark
APP-0075,15,productivity,managed_prefix,low,none,none,none,app_profile,partial,74.43,24.32,11.05,74.02,0,42,72,80.0,0.0,synthetic row; not a real application benchmark
APP-0076,16,productivity,managed_prefix,medium,kernel_driver,none,offline_activation,managed_prefix,failed,35.78,33.68,12.53,69.19,0,42,72,32.7,59.75,synthetic row; not a real application benchmark
APP-0077,17,productivity,managed_prefix,medium,none,none,none,managed_prefix,partial,72.6,28.52,11.15,80.85,0,42,72,71.0,8.0,synthetic row; not a real application benchmark
APP-0078,18,productivity,managed_prefix,medium,service,none,offline_activation,managed_prefix,partial,50.29,29.78,8.17,75.68,0,42,72,50.7,34.75,synthetic row; not a real application benchmark
APP-0079,19,productivity,managed_prefix,medium,none,none,online_activation,managed_prefix,partial,52.52,38.14,11.5,85.53,0,42,72,59.1,22.0,synthetic row; not a real application benchmark
APP-0080,20,productivity,managed_prefix,medium,none,none,offline_activation,managed_prefix,partial,70.46,31.51,9.93,74.08,0,42,72,64.2,16.0,synthetic row; not a real application benchmark
APP-0081,1,productivity,virtualisation,medium,none,none,hardware_dongle,app_profile,full,83.77,48.62,26.7,39.99,1,42,90,82.2,36.0,synthetic row; not a real application benchmark
APP-0082,2,productivity,virtualisation,low,none,none,none,app_profile,full,85.42,41.2,26.23,48.02,1,42,90,90.0,0.0,synthetic row; not a real application benchmark
APP-0083,3,productivity,virtualisation,low,none,none,online_activation,app_profile,full,81.95,47.03,23.56,51.59,1,42,90,86.5,14.0,synthetic row; not a real application benchmark
APP-0084,4,productivity,virtualisation,low,none,standard_device,none,app_profile,full,85.35,39.14,21.35,50.14,1,42,90,86.4,7.2,synthetic row; not a real application benchmark
APP-0085,5,productivity,virtualisation,medium,service,none,offline_activation,app_profile,partial,72.05,42.61,23.55,52.59,1,42,90,83.45,34.75,synthetic row; not a real application benchmark
APP-0086,6,productivity,virtualisation,low,service,none,offline_activation,app_profile,full,86.49,46.83,25.7,46.0,1,42,90,84.25,26.75,synthetic row; not a real application benchmark
APP-0087,7,productivity,virtualisation,high,none,none,none,app_profile,full,80.1,37.51,27.8,53.75,1,42,90,88.2,18.0,synthetic row; not a real application benchmark
APP-0088,8,productivity,virtualisation,medium,service,none,online_activation,app_profile,full,90.94,51.87,24.66,43.18,1,42,90,81.95,40.75,synthetic row; not a real application benchmark
APP-0089,9,productivity,virtualisation,low,service,none,online_activation,app_profile,full,91.68,52.34,22.76,50.17,1,42,90,82.75,32.75,synthetic row; not a real application benchmark
APP-0090,10,productivity,virtualisation,medium,none,none,offline_activation,app_profile,full,90.9,48.15,25.48,41.87,1,42,90,87.2,16.0,synthetic row; not a real application benchmark
APP-0091,11,productivity,virtualisation,low,none,none,online_activation,app_profile,full,95.14,50.24,24.51,54.4,1,42,90,86.5,14.0,synthetic row; not a real application benchmark
APP-0092,12,productivity,virtualisation,low,none,none,none,app_profile,full,90.3,36.79,23.9,48.68,1,42,90,90.0,0.0,synthetic row; not a real application benchmark
APP-0093,13,productivity,virtualisation,high,none,none,online_activation,app_profile,full,84.92,48.49,23.64,48.4,1,42,90,84.7,32.0,synthetic row; not a real application benchmark
APP-0094,14,productivity,virtualisation,low,none,none,online_activation,app_profile,full,77.57,44.31,25.99,53.24,1,42,90,86.5,14.0,synthetic row; not a real application benchmark
APP-0095,15,productivity,virtualisation,medium,none,none,online_activation,app_profile,full,87.42,48.32,27.37,53.4,1,42,90,85.7,22.0,synthetic row; not a real application benchmark
APP-0096,16,productivity,virtualisation,medium,kernel_driver,none,offline_activation,app_profile,full,77.44,50.29,26.71,41.73,1,42,90,78.45,59.75,synthetic row; not a real application benchmark
APP-0097,17,productivity,virtualisation,low,service,none,online_activation,app_profile,full,84.12,43.24,23.64,52.5,1,42,90,82.75,32.75,synthetic row; not a real application benchmark
APP-0098,18,productivity,virtualisation,medium,service,none,offline_activation,app_profile,partial,74.14,48.72,25.46,46.28,1,42,90,83.45,34.75,synthetic row; not a real application benchmark
APP-0099,19,productivity,virtualisation,medium,none,none,online_activation,app_profile,full,80.06,45.28,23.29,45.42,1,42,90,85.7,22.0,synthetic row; not a real application benchmark
APP-0100,20,productivity,virtualisation,low,none,none,none,app_profile,full,99.53,42.14,27.51,48.63,1,42,90,90.0,0.0,synthetic row; not a real application benchmark
APP-0101,1,creative,native_linux,medium,none,standard_device,online_activation,app_profile,full,86.66,12.68,2.56,95.44,0,42,95,90.2,29.2,synthetic row; not a real application benchmark
APP-0102,2,creative,native_linux,medium,none,standard_device,none,app_profile,full,94.68,7.7,0.0,100.0,0,42,95,93.0,15.2,synthetic row; not a real application benchmark
APP-0103,3,creative,native_linux,medium,none,standard_device,online_activation,app_profile,full,86.73,12.12,0.6,95.77,0,42,95,90.2,29.2,synthetic row; not a real application benchmark
APP-0104,4,creative,native_linux,medium,none,none,online_activation,app_profile,full,95.82,7.05,0.0,91.17,0,42,95,92.2,22.0,synthetic row; not a real application benchmark
APP-0105,5,creative,native_linux,medium,none,standard_device,online_activation,app_profile,full,91.33,12.59,1.06,92.71,0,42,95,90.2,29.2,synthetic row; not a real application benchmark
APP-0106,6,creative,native_linux,low,none,none,online_activation,app_profile,full,79.69,0.0,0.33,96.77,0,42,95,92.2,14.0,synthetic row; not a real application benchmark
APP-0107,7,creative,native_linux,medium,none,none,online_activation,app_profile,full,88.82,3.35,3.76,92.86,0,42,95,92.2,22.0,synthetic row; not a real application benchmark
APP-0108,8,creative,native_linux,medium,service,standard_device,offline_activation,app_profile,full,86.04,18.84,3.43,90.04,0,42,95,89.15,41.95,synthetic row; not a real application benchmark
APP-0109,9,creative,native_linux,medium,service,none,online_activation,app_profile,full,92.73,7.31,5.37,100.0,0,42,95,89.95,40.75,synthetic row; not a real application benchmark
APP-0110,10,creative,native_linux,high,none,standard_device,offline_activation,app_profile,full,82.0,8.83,2.55,97.88,0,42,95,91.4,33.2,synthetic row; not a real application benchmark
APP-0111,11,creative,native_linux,high,none,standard_device,online_activation,app_profile,full,92.27,10.37,4.43,97.42,0,42,95,90.2,39.2,synthetic row; not a real application benchmark
APP-0112,12,creative,native_linux,high,none,proprietary_device,offline_activation,app_profile,full,90.85,9.0,4.94,98.36,0,42,95,87.9,45.8,synthetic row; not a real application benchmark
APP-0113,13,creative,native_linux,medium,service,none,online_activation,app_profile,full,95.95,10.96,2.69,98.09,0,42,95,89.95,40.75,synthetic row; not a real application benchmark
APP-0114,14,creative,native_linux,high,service,standard_device,online_activation,app_profile,full,90.21,16.21,2.56,92.3,0,42,95,87.95,57.95,synthetic row; not a real application benchmark
APP-0115,15,creative,native_linux,medium,service,standard_device,online_activation,app_profile,full,89.99,18.27,4.14,91.14,0,42,95,87.95,47.95,synthetic row; not a real application benchmark
APP-0116,16,creative,native_linux,high,none,proprietary_device,offline_activation,app_profile,full,84.19,17.3,5.19,93.47,0,42,95,87.9,45.8,synthetic row; not a real application benchmark
APP-0117,17,creative,native_linux,high,none,proprietary_device,offline_activation,app_profile,full,82.69,18.02,4.3,88.93,0,42,95,87.9,45.8,synthetic row; not a real application benchmark
APP-0118,18,creative,native_linux,medium,kernel_driver,none,offline_activation,app_profile,full,91.83,14.1,5.46,88.13,0,42,95,88.15,59.75,synthetic row; not a real application benchmark
APP-0119,19,creative,native_linux,high,service,proprietary_device,online_activation,app_profile,full,82.04,21.28,8.68,99.53,0,42,95,84.45,70.55,synthetic row; not a real application benchmark
APP-0120,20,creative,native_linux,high,none,standard_device,online_activation,app_profile,full,90.81,11.82,5.93,97.16,0,42,95,90.2,39.2,synthetic row; not a real application benchmark
APP-0121,1,creative,wine_like,medium,none,standard_device,none,raw,partial,45.95,77.5,14.79,61.92,0,42,65,42.6,15.2,synthetic row; not a real application benchmark
APP-0122,2,creative,wine_like,medium,none,standard_device,online_activation,raw,failed,24.19,82.01,12.73,59.05,0,42,65,29.3,29.2,synthetic row; not a real application benchmark
APP-0123,3,creative,wine_like,medium,service,proprietary_device,offline_activation,raw,failed,0.0,85.64,10.36,55.49,0,42,65,6.7,54.55,synthetic row; not a real application benchmark
APP-0124,4,creative,wine_like,high,none,proprietary_device,offline_activation,raw,failed,15.63,84.49,15.12,61.54,0,42,65,13.2,45.8,synthetic row; not a real application benchmark
APP-0125,5,creative,wine_like,medium,kernel_driver,proprietary_device,offline_activation,raw,failed,0.0,91.51,14.0,48.91,0,42,65,-13.3,79.55,synthetic row; not a real application benchmark
APP-0126,6,creative,wine_like,high,service,proprietary_device,hardware_dongle,raw,failed,0.0,94.04,20.61,49.84,0,42,65,-20.8,84.55,synthetic row; not a real application benchmark
APP-0127,7,creative,wine_like,medium,none,none,offline_activation,raw,failed,41.83,84.42,11.89,66.53,0,42,65,42.6,16.0,synthetic row; not a real application benchmark
APP-0128,8,creative,wine_like,medium,none,none,online_activation,managed_prefix,failed,44.51,69.01,10.57,67.08,0,42,65,44.9,22.0,synthetic row; not a real application benchmark
APP-0129,9,creative,wine_like,high,none,none,online_activation,raw,failed,25.47,88.04,14.29,61.4,0,42,65,28.4,32.0,synthetic row; not a real application benchmark
APP-0130,10,creative,wine_like,high,none,proprietary_device,online_activation,raw,failed,0.0,90.41,14.57,55.22,0,42,65,7.5,51.8,synthetic row; not a real application benchmark
APP-0131,11,creative,wine_like,medium,service,standard_device,hardware_dongle,managed_prefix,failed,8.66,83.92,14.87,68.04,0,42,65,9.0,61.95,synthetic row; not a real application benchmark
APP-0132,12,creative,wine_like,medium,none,standard_device,none,raw,failed,37.11,81.8,10.57,57.22,0,42,65,42.6,15.2,synthetic row; not a real application benchmark
APP-0133,13,creative,wine_like,medium,none,standard_device,online_activation,raw,failed,28.1,82.21,13.44,64.93,0,42,65,29.3,29.2,synthetic row; not a real application benchmark
APP-0134,14,creative,wine_like,medium,none,none,none,raw,partial,46.45,76.06,12.43,60.92,0,42,65,50.2,8.0,synthetic row; not a real application benchmark
APP-0135,15,creative,wine_like,high,none,none,online_activation,managed_prefix,failed,35.08,69.56,16.56,67.34,0,42,65,36.4,32.0,synthetic row; not a real application benchmark
APP-0136,16,creative,wine_like,high,none,standard_device,online_activation,managed_prefix,failed,37.39,65.02,10.28,64.23,0,42,65,28.8,39.2,synthetic row; not a real application benchmark
APP-0137,17,creative,wine_like,high,none,none,offline_activation,raw,failed,39.25,81.84,15.73,63.09,0,42,65,34.1,26.0,synthetic row; not a real application benchmark
APP-0138,18,creative,wine_like,high,none,standard_device,online_activation,managed_prefix,failed,16.55,68.63,11.91,64.95,0,42,65,28.8,39.2,synthetic row; not a real application benchmark
APP-0139,19,creative,wine_like,medium,service,standard_device,online_activation,managed_prefix,failed,31.31,73.15,13.15,59.55,0,42,65,22.3,47.95,synthetic row; not a real application benchmark
APP-0140,20,creative,wine_like,medium,none,standard_device,online_activation,managed_prefix,failed,33.49,72.39,14.01,68.07,0,42,65,37.3,29.2,synthetic row; not a real application benchmark
APP-0141,1,creative,proton_like,medium,none,standard_device,none,raw,partial,61.12,47.74,10.01,76.85,0,42,78,68.0,15.2,synthetic row; not a real application benchmark
APP-0142,2,creative,proton_like,high,none,standard_device,hardware_dongle,raw,partial,52.97,64.94,7.82,70.69,0,42,78,43.3,53.2,synthetic row; not a real application benchmark
APP-0143,3,creative,proton_like,medium,none,none,online_activation,raw,partial,61.29,47.2,7.45,73.15,0,42,78,61.8,22.0,synthetic row; not a real application benchmark
APP-0144,4,creative,proton_like,low,none,none,online_activation,managed_prefix,partial,64.47,34.95,2.7,76.49,0,42,78,65.4,14.0,synthetic row; not a real application benchmark
APP-0145,5,creative,proton_like,medium,none,none,online_activation,app_profile,partial,68.25,33.44,10.37,82.4,0,42,78,61.8,22.0,synthetic row; not a real application benchmark
APP-0146,6,creative,proton_like,medium,none,proprietary_device,online_activation,app_profile,failed,41.45,32.81,7.75,81.95,0,42,78,44.2,41.8,synthetic row; not a real application benchmark
APP-0147,7,creative,proton_like,medium,none,none,offline_activation,raw,partial,74.96,53.71,6.8,82.73,0,42,78,67.2,16.0,synthetic row; not a real application benchmark
APP-0148,8,creative,proton_like,medium,none,standard_device,hardware_dongle,app_profile,failed,41.94,30.36,11.21,90.47,0,42,78,42.8,43.2,synthetic row; not a real application benchmark
APP-0149,9,creative,proton_like,medium,service,standard_device,offline_activation,managed_prefix,partial,46.36,50.56,8.92,82.15,0,42,78,46.55,41.95,synthetic row; not a real application benchmark
APP-0150,10,creative,proton_like,medium,none,standard_device,online_activation,managed_prefix,partial,51.22,44.45,10.58,82.77,0,42,78,55.4,29.2,synthetic row; not a real application benchmark
APP-0151,11,creative,proton_like,low,kernel_driver,standard_device,hardware_dongle,managed_prefix,failed,13.27,47.2,13.12,76.6,0,42,78,13.15,78.95,synthetic row; not a real application benchmark
APP-0152,12,creative,proton_like,low,service,proprietary_device,online_activation,managed_prefix,failed,33.85,47.3,7.27,75.26,0,42,78,33.55,52.55,synthetic row; not a real application benchmark
APP-0153,13,creative,proton_like,medium,none,none,offline_activation,app_profile,partial,56.55,31.63,10.49,79.7,0,42,78,67.2,16.0,synthetic row; not a real application benchmark
APP-0154,14,creative,proton_like,high,none,standard_device,online_activation,managed_prefix,failed,43.17,46.76,11.79,79.4,0,42,78,55.9,39.2,synthetic row; not a real application benchmark
APP-0155,15,creative,proton_like,high,none,standard_device,offline_activation,managed_prefix,partial,55.4,46.32,8.93,82.02,0,42,78,61.3,33.2,synthetic row; not a real application benchmark
APP-0156,16,creative,proton_like,medium,service,none,online_activation,managed_prefix,partial,53.5,39.76,8.28,79.66,0,42,78,47.55,40.75,synthetic row; not a real application benchmark
APP-0157,17,creative,proton_like,high,none,standard_device,online_activation,managed_prefix,partial,55.28,47.27,6.52,76.1,0,42,78,55.9,39.2,synthetic row; not a real application benchmark
APP-0158,18,creative,proton_like,high,none,proprietary_device,hardware_dongle,raw,failed,35.39,71.44,10.69,68.41,0,42,78,32.1,65.8,synthetic row; not a real application benchmark
APP-0159,19,creative,proton_like,medium,none,standard_device,hardware_dongle,app_profile,failed,44.43,33.67,11.11,83.96,0,42,78,42.8,43.2,synthetic row; not a real application benchmark
APP-0160,20,creative,proton_like,low,kernel_driver,proprietary_device,none,raw,failed,36.71,59.36,9.97,64.32,0,42,78,27.15,63.55,synthetic row; not a real application benchmark
APP-0161,1,creative,managed_prefix,high,none,standard_device,none,app_profile,partial,64.01,26.98,13.03,73.89,0,42,72,59.7,25.2,synthetic row; not a real application benchmark
APP-0162,2,creative,managed_prefix,low,service,standard_device,online_activation,app_profile,partial,49.82,23.38,11.03,77.61,0,42,72,47.8,39.95,synthetic row; not a real application benchmark
APP-0163,3,creative,managed_prefix,medium,none,proprietary_device,hardware_dongle,app_profile,failed,17.16,33.83,11.79,68.59,0,42,72,31.5,55.8,synthetic row; not a real application benchmark
APP-0164,4,creative,managed_prefix,medium,none,none,online_activation,managed_prefix,partial,55.74,40.71,9.71,77.85,0,42,72,59.1,22.0,synthetic row; not a real application benchmark
APP-0165,5,creative,managed_prefix,medium,kernel_driver,none,online_activation,app_profile,failed,23.55,38.53,11.55,73.93,0,42,72,30.6,65.75,synthetic row; not a real application benchmark
APP-0166,6,creative,managed_prefix,low,none,standard_device,hardware_dongle,managed_prefix,partial,46.36,39.65,9.64,83.32,0,42,72,46.4,35.2,synthetic row; not a real application benchmark
